Distance_(pixels),Gray_Value
1143,52.9559
1144,53.2990
1145,53.6275
1146,54.2843
1147,54.3039
1148,54.9412
1149,55.1912
1150,55.7647
1151,56.0098
1152,56.2941
1153,56.7892
1154,57.1225
1155,57.5147
1156,58.1520
1157,58.5784
1158,58.8676
1159,59.6127
1160,60.1078
1161,60.5882
1162,61.0833
1163,61.3382
1164,61.7794
1165,62.5098
1166,62.9706
1167,63.4608
1168,64.1765
1169,64.5392
1170,64.9559
1171,65.3088
1172,65.7941
1173,66.2059
1174,66.3333
1175,66.8480
1176,67.4951
1177,68.1373
1178,68.4804
1179,68.7304
1180,69.2157
1181,69.6373
1182,69.8480
1183,70.4118
1184,70.8284
1185,71.1520
1186,71.2500
1187,71.6029
1188,71.8480
1189,72.2598
1190,72.6324
1191,72.9755
1192,73.2451
1193,73.6422
1194,74.0588
1195,74.5931
1196,75.4265
1197,75.8333
1198,76.5294
1199,77.1422
1200,78.1471
1201,79.0490
1202,80.0196
1203,80.9804
1204,82.2255
1205,83.4363
1206,84.4902
1207,85.6618
1208,87.3333
1209,88.6765
1210,90.2745
1211,91.5539
1212,93.3480
1213,94.9559
1214,96.5784
1215,98.3137
1216,99.5490
1217,101.3578
1218,102.6765
1219,104.3039
1220,105.8235
1221,106.9216
1222,108.0637
1223,108.9951
1224,109.3971
1225,110.1127
1226,110.6127
1227,110.8186
1228,111.0294
1229,110.4314
1230,109.9020
1231,109.4951
1232,108.5245
1233,107.4510
1234,106.3774
1235,105.2059
1236,103.7304
1237,102.3824
1238,100.8382
1239,99.1716
1240,97.4510
1241,96.1373
1242,94.5833
1243,92.8088
1244,91.4657
1245,90.0245
1246,88.4608
1247,87.3971
1248,86.2402
1249,85.0980
1250,84.2941
1251,83.2255
1252,82.3480
1253,81.3284
1254,80.7353
1255,80.0000
1256,79.3726
1257,78.6961
1258,78.3235
1259,77.6961
1260,77.0441
1261,76.6765
1262,76.0196
1263,75.7647
1264,75.3333
1265,75.1274
1266,74.6863
1267,74.4167
1268,73.8431
1269,73.6422
1270,73.3088
1271,73.2745
1272,72.9804
1273,72.6029
1274,72.4167
1275,72.0196
1276,71.7647
1277,71.4510
1278,71.1716
1279,71.0098
1280,70.4706
1281,70.0833
1282,69.7108
1283,69.2108
1284,68.9510
1285,68.3480
1286,67.9461
1287,67.4265
1288,67.3186
1289,66.7010
1290,66.0441
1291,65.5490
1292,65.0686
1293,64.6422
1294,64.0833
1295,63.4412
1296,62.8578
1297,62.6569
1298,61.9216
1299,61.4216
1300,61.0490
1301,60.4951
1302,59.7157
1303,59.4314
1304,58.9412
1305,58.6324
1306,57.9216
1307,57.6078
1308,57.0833
1309,56.5441
1310,56.4412
1311,55.8431
1312,55.4755
1313,55.1275
1314,54.5882
1315,54.3284
1316,53.8039
1317,53.4755
1318,52.9314
1319,52.7892
1320,52.1422
1321,51.9461
1322,51.3824
1323,51.2451
1324,50.8382
1325,50.4069
1326,50.1765
1327,49.5931
1328,49.4069
1329,48.9216
1330,48.7549
1331,48.4167
1332,48.4559
1333,48.2892
1334,47.8284
1335,47.8824
1336,48.0637
1337,47.6275
1338,47.6373
1339,47.5980
1340,48.0441
1341,47.8186
1342,47.5098
1343,47.1373
1344,46.9755
1345,46.9608
1346,47.2500
1347,46.7108
1348,46.5833
1349,46.5343
1350,46.9559
1351,47.0686
1352,46.9118
1353,47.0735
1354,47.4314
1355,47.5294
1356,47.5735
1357,47.6667
1358,47.7059
1359,47.9461
1360,48.0882
1361,48.1127
1362,48.2892
1363,48.5049
1364,48.6225
1365,48.9363
1366,49.3186
1367,49.2206
1368,49.4657
1369,49.9216
1370,50.0784
1371,50.3529
1372,50.5098
1373,50.9657
1374,51.3725
1375,51.3382
1376,51.6373
1377,52.0735
1378,52.4608
1379,52.8775
1380,53.4559
1381,53.6225
1382,54.0490
1383,54.2549
1384,54.7353
1385,54.9020
1386,55.4608
1387,56.0000
1388,56.4755
1389,56.8088
1390,57.1667
1391,57.6667
1392,58.2794
1393,58.7745
1394,59.2843
1395,59.6520
1396,60.1275
1397,60.7451
1398,61.1520
1399,61.7647
1400,62.3186
1401,62.7745
1402,63.3039
1403,63.9461
1404,64.3922
1405,64.6961
1406,65.3039
1407,65.8578
1408,66.3039
1409,66.9167
1410,67.2255
1411,67.6765
