X,Value,ERR
144,46.905,4.0062
145,45.698,3.8776
146,44.413,3.7369
147,43.222,3.6187
148,41.873,3.4925
149,40.698,3.3486
150,39.683,3.2755
151,38.794,3.1588
152,38.063,3.1005
153,37.143,3.0223
154,36.175,2.8898
155,35.571,2.8588
156,34.635,2.7816
157,33.635,2.7061
158,33.254,2.6530
159,32.556,2.5665
160,31.905,2.4913
161,31.413,2.4292
162,30.841,2.3735
163,30.254,2.3417
164,29.349,2.2326
165,29.175,2.2146
166,28.492,2.1545
167,27.698,2.0654
168,27.476,2.0321
169,27.143,2.0286
170,26.746,1.9692
171,26.302,1.8995
172,25.937,1.8827
173,25.587,1.8438
174,25.333,1.8461
175,24.667,1.7523
176,24.619,1.7256
177,24.508,1.6830
178,24.222,1.7106
179,24.111,1.6803
180,23.571,1.6397
181,23.429,1.5926
182,23.206,1.5977
183,23.048,1.5616
184,22.937,1.5273
185,22.508,1.4991
186,22.349,1.4388
187,22.286,1.4426
188,22.159,1.4283
189,22.016,1.4194
190,21.921,1.4057
191,21.889,1.3870
192,21.556,1.3525
193,21.746,1.3708
194,21.683,1.3421
195,21.857,1.3556
196,21.714,1.3508
197,21.556,1.3099
198,21.556,1.2996
199,21.635,1.2891
200,21.413,1.2592
201,21.381,1.2757
202,21.413,1.2406
203,21.365,1.2413
204,21.540,1.2288
205,21.302,1.2024
206,21.651,1.2295
207,21.540,1.2277
208,21.540,1.2342
209,21.746,1.2154
210,21.889,1.2129
211,21.714,1.1936
212,21.921,1.2364
213,21.762,1.2043
214,21.952,1.1998
215,23.698,1.9646
216,22.048,1.1621
217,22.016,1.1750
218,22.095,1.1661
219,22.429,1.1577
220,22.302,1.1643
221,22.556,1.1419
222,22.603,1.1473
223,22.968,1.1593
224,23.032,1.1433
225,23.127,1.1833
226,23.397,1.1908
227,23.540,1.1829
228,23.429,1.1493
229,23.873,1.1979
230,24.175,1.1923
231,24.333,1.2221
232,24.381,1.1802
233,24.968,1.2491
234,25.111,1.2286
235,25.159,1.2407
236,25.841,1.2615
237,26.222,1.3371
238,26.381,1.2976
239,26.667,1.2702
240,27.127,1.3259
241,27.952,1.4006
242,27.937,1.3923
243,28.159,1.3718
244,28.889,1.4110
245,29.175,1.4440
246,30.254,1.5152
247,30.714,1.5246
248,30.603,1.4580
249,31.190,1.5115
250,32.206,1.6261
251,33.063,1.7234
252,33.619,1.7235
253,33.492,1.6614
254,34.540,1.7034
255,35.587,1.7910
256,36.571,1.9206
257,37.746,1.9859
258,38.556,2.0335
259,39.063,2.0337
260,39.857,2.0438
261,40.460,2.0668
262,41.714,2.1576
263,43.063,2.2982
264,45.222,2.4563
265,46.476,2.5683
266,47.857,2.6560
267,49.063,2.7111
268,50.302,2.7969
269,51.651,2.8058
270,52.476,2.8714
271,54.317,2.9376
272,55.825,3.0326
273,57.143,3.1158
274,59.540,3.2558
275,61.460,3.4337
276,63.984,3.6120
277,66.540,3.8544
278,68.810,4.0437
279,71.333,4.2404
280,73.905,4.3978
281,76.667,4.6131
282,79.111,4.8232
283,81.762,4.9496
284,85.651,5.2450
285,88.365,5.3868
286,91.794,5.6772
287,95.063,5.9943
288,98.857,6.2213
289,102.000,6.3991
290,105.460,6.6556
291,109.714,6.8937
292,113.921,7.2448
293,118.349,7.5775
294,123.222,8.0167
295,128.095,8.4202
296,134.317,8.9788
297,140.095,9.3762
298,145.714,9.8514
299,149.397,10.1600
300,153.397,10.3709
301,156.937,10.4499
302,160.016,10.5304
303,162.889,10.6167
304,165.365,10.6473
305,168.095,10.6540
306,170.381,10.6724
307,172.000,10.7048
308,174.302,10.6655
309,175.667,10.6428
310,177.111,10.6430
311,178.841,10.6612
312,179.667,10.6653
313,180.444,10.6597
314,180.873,10.6595
315,181.381,10.7016
316,182.270,10.6997
317,182.206,10.7026
318,182.079,10.7115
319,182.063,10.7831
320,181.683,10.8279
321,181.333,10.8434
322,180.556,10.9286
323,179.460,10.9752
324,178.603,11.0457
325,176.952,11.1507
326,175.937,11.1982
327,174.540,11.3132
328,172.460,11.4055
329,171.222,11.4759
330,168.921,11.5654
331,166.603,11.6798
332,163.524,11.7264
333,161.206,11.7875
334,158.238,11.8551
335,155.190,11.8946
336,152.016,11.9213
337,147.762,11.9131
338,143.746,11.8248
339,138.667,11.6647
340,132.222,11.3338
341,124.841,10.6599
342,119.365,10.2194
343,113.032,9.6698
344,107.111,9.1863
345,102.222,8.7634
346,96.587,8.3454
347,91.762,7.8750
348,88.349,7.6526
349,84.810,7.3296
350,81.921,7.0585
351,78.429,6.7635
352,75.079,6.4710
353,72.825,6.2769
354,70.190,6.0249
355,67.698,5.8369
356,64.619,5.5434
357,62.190,5.3534
