Incident energy 	 
Incident energy 	 
Incident energy 	 σ(E)
3114020.0 	 0.6672466
3115530.0 	 0.6921271
3116500.0 	 0.70811
3117050.0 	 0.7051086
3120080.0 	 0.6885737
3121590.0 	 0.6803335
3123110.0 	 0.6720388
3124630.0 	 0.6637441
3126150.0 	 0.6554493
3127670.0 	 0.6471546
3129200.0 	 0.6388053
3130720.0 	 0.6305105
3132240.0 	 0.6222158
3133770.0 	 0.6138665
3134900.0 	 0.6077
3135300.0 	 0.6050139
3136820.0 	 0.594807
3138350.0 	 0.5845328
3139890.0 	 0.5741915
3141420.0 	 0.5639174
3142950.0 	 0.5536432
3144480.0 	 0.5433691
3146020.0 	 0.5330278
3147550.0 	 0.5227537
3149090.0 	 0.5124124
3150000.0 	 0.5063016
3150630.0 	 0.5020711
3152170.0 	 0.4917298
3153710.0 	 0.4813885
3155250.0 	 0.4710472
3156790.0 	 0.4607059
3158340.0 	 0.4502974
3159880.0 	 0.4399562
3161430.0 	 0.4295477
3162980.0 	 0.4191393
3164520.0 	 0.408798
3166070.0 	 0.3983895
3167620.0 	 0.3879811
3169180.0 	 0.3775055
3170600.0 	 0.36797
3170730.0 	 0.367933
3172280.0 	 0.3674914
3173840.0 	 0.367047
3175400.0 	 0.3666026
3176000.0 	 0.3664317
3176950.0 	 0.3661611
3178510.0 	 0.3657167
3180000.0 	 0.3652922
3180850.0 	 0.3650501
3183980.0 	 0.3641585
3187110.0 	 0.3632668
3190240.0 	 0.3623752
3193380.0 	 0.3614807
3196520.0 	 0.3605862
3199670.0 	 0.3596889
3200000.0 	 0.3595949
3201000.0 	 0.35931
3202820.0 	 0.3721618
3205980.0 	 0.3944758
3209140.0 	 0.4167899
3211910.0 	 0.43635
3214290.0 	 0.4531562
3216670.0 	 0.4699623
3219050.0 	 0.4867685
3219400.0 	 0.48924
3221430.0 	 0.5348348
3223820.0 	 0.5885154
3226210.0 	 0.642196
3228610.0 	 0.6961012
3231000.0 	 0.7497818
3231300.0 	 0.75652
3233400.0 	 0.7882129
3235800.0 	 0.8244333
3236200.0 	 0.83047
3238210.0 	 0.8154285
3240000.0 	 0.8020333
3240610.0 	 0.7974685
3243020.0 	 0.7794337
3245430.0 	 0.7613988
3247600.0 	 0.74516
3247850.0 	 0.7413785
3250260.0 	 0.7049245
3252690.0 	 0.6681681
3255110.0 	 0.6315629
3257530.0 	 0.5949577
3260000.0 	 0.5575962
