time	V(n003)*10	V(n009)*10
4.885000000023898e-06	8.561116e-20	-2.915241e-07
4.905000000023996e-06	1.102856e-19	-2.915241e-07
4.925000000024094e-06	3.222288e-20	-2.915241e-07
4.945000000024192e-06	-6.335606e-19	-2.915241e-07
4.965000000024290e-06	1.881761e-19	-2.915241e-07
4.985000000024388e-06	6.828153e-19	-2.915241e-07
5.005000000024486e-06	-6.516658e-19	-2.915241e-07
5.025000000024584e-06	1.843749e-19	-2.915241e-07
5.045000000024683e-06	1.770712e-20	-2.915241e-07
5.065000000024781e-06	1.416496e-21	-2.915241e-07
5.085000000024879e-06	-6.686822e-23	-2.915241e-07
5.105000000024977e-06	-1.728127e-22	-2.915241e-07
5.125000000025075e-06	-2.522683e-22	-2.915241e-07
5.145000000025173e-06	6.295019e-20	-2.915241e-07
5.165000000025271e-06	7.835335e-20	-2.915241e-07
5.185000000025369e-06	1.097957e-19	-2.915241e-07
5.205000000025467e-06	-5.870064e-19	-2.915241e-07
5.225000000025565e-06	6.436650e-19	-2.915241e-07
5.245000000025663e-06	-4.493836e-19	-2.915241e-07
5.265000000025761e-06	-7.157126e-22	-2.915241e-07
5.285000000025859e-06	8.375728e-20	-2.915241e-07
5.305000000025957e-06	8.539949e-20	-2.915241e-07
5.325000000026055e-06	1.102328e-19	-2.915241e-07
5.345000000026153e-06	9.950475e-20	-2.915241e-07
5.365000000026252e-06	-5.497365e-19	-2.915241e-07
5.385000000026350e-06	6.331092e-19	-2.915241e-07
5.405000000026448e-06	-4.635153e-19	-2.915241e-07
5.425000000026546e-06	-5.496860e-21	-2.915241e-07
5.445000000026644e-06	8.320110e-20	-2.915241e-07
5.465000000026742e-06	8.559824e-20	-2.915241e-07
5.485000000026840e-06	1.102594e-19	-2.915241e-07
5.505000000026938e-06	9.954458e-20	-2.915241e-07
5.525000000027036e-06	-5.497364e-19	-2.915241e-07
5.545000000027134e-06	9.884278e-20	-2.915241e-07
5.565000000027232e-06	1.406525e-20	-2.915241e-07
5.585000000027330e-06	9.578331e-20	-2.915241e-07
5.605000000027428e-06	1.194613e-20	-2.915241e-07
5.625000000027526e-06	1.165182e-21	-2.915241e-07
5.645000000027624e-06	-4.004934e-23	-2.915241e-07
5.665000000027723e-06	-1.989716e-22	-2.915241e-07
5.685000000027821e-06	-1.989608e-22	-2.915241e-07
5.705000000027919e-06	-2.254389e-22	-2.915241e-07
5.725000000028017e-06	-2.121837e-22	-2.915241e-07
5.745000000028115e-06	-2.254174e-22	-2.915241e-07
5.765000000028213e-06	6.301677e-20	-2.915241e-07
5.785000000028311e-06	7.834047e-20	-2.915241e-07
5.805000000028409e-06	1.097828e-19	-2.915241e-07
5.825000000028507e-06	9.995532e-20	-2.915241e-07
5.845000000028605e-06	-5.495641e-19	-2.915241e-07
5.865000000028703e-06	6.331492e-19	-2.915241e-07
5.885000000028801e-06	-4.635284e-19	-2.915241e-07
5.905000000028899e-06	-5.470119e-21	-2.915241e-07
5.925000000028997e-06	8.321460e-20	-2.915241e-07
5.945000000029095e-06	8.562499e-20	-2.915241e-07
5.965000000029193e-06	1.103259e-19	-2.915241e-07
5.985000000029292e-06	9.950509e-20	-2.915241e-07
6.005000000029390e-06	-5.497362e-19	-2.915241e-07
6.025000000029488e-06	6.331361e-19	-2.915241e-07
6.045000000029586e-06	-4.635150e-19	-2.915241e-07
6.065000000029684e-06	-5.536253e-21	-2.915241e-07
6.085000000029782e-06	8.321468e-20	-2.915241e-07
6.105000000029880e-06	8.562508e-20	-2.915241e-07
6.125000000029978e-06	1.102730e-19	-2.915241e-07
6.145000000030076e-06	9.949194e-20	-2.915241e-07
6.165000000030174e-06	-5.497493e-19	-2.915241e-07
6.185000000030272e-06	1.851967e-19	-2.915241e-07
6.205000000030370e-06	1.688662e-20	-2.915241e-07
6.225000000030468e-06	1.297949e-21	-2.915241e-07
6.245000000030566e-06	-5.297137e-23	-2.915241e-07
6.265000000030664e-06	-1.854049e-22	-2.915241e-07
6.285000000030763e-06	-2.251275e-22	-2.915241e-07
6.305000000030861e-06	-2.383613e-22	-2.915241e-07
6.325000000030959e-06	-2.383507e-22	-2.915241e-07
6.345000000031057e-06	-2.383400e-22	-2.915241e-07
6.365000000031155e-06	-1.721073e-22	-2.915241e-07
6.385000000031253e-06	6.300386e-20	-2.915241e-07
6.405000000031351e-06	7.835405e-20	-2.915241e-07
6.425000000031449e-06	1.098361e-19	-2.915241e-07
6.445000000031547e-06	9.992916e-20	-2.915241e-07
6.465000000031645e-06	-5.496035e-19	-2.915241e-07
6.485000000031743e-06	6.331496e-19	-2.915241e-07
6.505000000031841e-06	-4.635545e-19	-2.915241e-07
6.525000000031939e-06	-5.496276e-21	-2.915241e-07
6.545000000032037e-06	8.321493e-20	-2.915241e-07
6.565000000032135e-06	8.561207e-20	-2.915241e-07
6.585000000032233e-06	1.102997e-19	-2.915241e-07
6.605000000032332e-06	9.955841e-20	-2.915241e-07
6.625000000032430e-06	-5.497226e-19	-2.915241e-07
6.645000000032528e-06	6.331231e-19	-2.915241e-07
6.665000000032626e-06	-4.634617e-19	-2.915241e-07
6.685000000032724e-06	-5.482945e-21	-2.915241e-07
6.705000000032822e-06	8.324150e-20	-2.915241e-07
6.725000000032920e-06	8.559891e-20	-2.915241e-07
6.745000000033018e-06	1.103263e-19	-2.915241e-07
6.765000000033116e-06	9.947903e-20	-2.915241e-07
6.785000000033214e-06	-5.497225e-19	-2.915241e-07
6.805000000033312e-06	1.851573e-19	-2.915241e-07
6.825000000033410e-06	1.687370e-20	-2.915241e-07
6.845000000033508e-06	1.324767e-21	-2.915241e-07
6.865000000033606e-06	-2.615351e-23	-2.915241e-07
6.885000000033704e-06	-1.850760e-22	-2.915241e-07
6.905000000033803e-06	-2.380432e-22	-2.915241e-07
6.925000000033901e-06	-2.115438e-22	-2.915241e-07
6.945000000033999e-06	-2.380222e-22	-2.915241e-07
6.965000000034097e-06	-2.512561e-22	-2.915241e-07
6.985000000034195e-06	-1.850235e-22	-2.915241e-07
7.005000000034293e-06	-2.247463e-22	-2.915241e-07
7.025000000034391e-06	6.297771e-20	-2.915241e-07
7.045000000034489e-06	7.834114e-20	-2.915241e-07
7.065000000034587e-06	1.097835e-19	-2.915241e-07
7.085000000034685e-06	9.995599e-20	-2.915241e-07
7.105000000034783e-06	-5.495634e-19	-2.915241e-07
7.125000000034881e-06	6.331234e-19	-2.915241e-07
7.145000000034979e-06	-4.635144e-19	-2.915241e-07
7.165000000035077e-06	-5.522427e-21	-2.915241e-07
7.185000000035175e-06	8.322851e-20	-2.915241e-07
7.205000000035273e-06	8.559916e-20	-2.915241e-07
7.225000000035372e-06	1.103001e-19	-2.915241e-07
7.245000000035470e-06	9.953225e-20	-2.915241e-07
7.265000000035568e-06	-5.496958e-19	-2.915241e-07
7.285000000035666e-06	6.331235e-19	-2.915241e-07
7.305000000035764e-06	-4.635143e-19	-2.915241e-07
7.325000000035862e-06	6.593342e-19	-2.915241e-07
7.345000000035960e-06	-4.495680e-19	-2.915241e-07
7.365000000036058e-06	-2.277976e-20	-2.915241e-07
7.385000000036156e-06	7.975843e-20	-2.915241e-07
7.405000000036254e-06	1.144191e-19	-2.915241e-07
7.425000000036352e-06	-3.997103e-20	-2.915241e-07
7.445000000036450e-06	-2.793938e-21	-2.915241e-07
7.465000000036548e-06	-2.509992e-22	-2.915241e-07
7.485000000036646e-06	-2.244999e-22	-2.915241e-07
7.505000000036744e-06	-1.847563e-22	-2.915241e-07
7.525000000036842e-06	-1.715015e-22	-2.915241e-07
7.545000000036941e-06	-2.112244e-22	-2.915241e-07
7.565000000037039e-06	-1.847252e-22	-2.915241e-07
7.585000000037137e-06	-2.244481e-22	-2.915241e-07
7.605000000037235e-06	-1.979489e-22	-2.915241e-07
7.625000000037333e-06	-5.824225e-19	-2.915241e-07
7.645000000037431e-06	6.537453e-19	-2.915241e-07
7.665000000037529e-06	-4.475811e-19	-2.915241e-07
7.685000000037627e-06	6.636256e-19	-2.915241e-07
7.705000000037725e-06	-4.493957e-19	-2.915241e-07
7.725000000037823e-06	-2.311068e-20	-2.915241e-07
7.745000000037921e-06	7.965268e-20	-2.915241e-07
7.765000000038019e-06	1.143929e-19	-2.915241e-07
