ts_ext,pixels,multiplicity,vertical_dimension,horizontal_dimension,ratio_x_y,ratio_x_y_bin,density
29902149,"[(179, 83)]",1,1,1,1.0,1.0,1.0
29910231,"[(95, 197)]",1,1,1,1.0,1.0,1.0
29918716,"[(215, 152)]",1,1,1,1.0,1.0,1.0
29922647,"[(232, 350)]",1,1,1,1.0,1.0,1.0
29926465,"[(35, 407)]",1,1,1,1.0,1.0,1.0
29926503,"[(76, 440)]",1,1,1,1.0,1.0,1.0
29926508,"[(76, 439)]",1,1,1,1.0,1.0,1.0
29938378,"[(320, 15)]",1,1,1,1.0,1.0,1.0
29938514,"[(362, 66)]",1,1,1,1.0,1.0,1.0
29938899,"[(66, 159)]",1,1,1,1.0,1.0,1.0
30034161,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30034260,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30085555,"[(155, 39)]",1,1,1,1.0,1.0,1.0
30085698,"[(82, 56)]",1,1,1,1.0,1.0,1.0
30097537,"[(162, 313)]",1,1,1,1.0,1.0,1.0
30097857,"[(130, 360)]",1,1,1,1.0,1.0,1.0
30110168,"[(154, 249)]",1,1,1,1.0,1.0,1.0
30118142,"[(146, 369)]",1,1,1,1.0,1.0,1.0
30118687,"[(63, 1)]",1,1,1,1.0,1.0,1.0
30130621,"[(113, 216)]",1,1,1,1.0,1.0,1.0
30142735,"[(303, 398)]",1,1,1,1.0,1.0,1.0
30142830,"[(168, 402)]",1,1,1,1.0,1.0,1.0
30264516,"[(328, 404), (328, 403)]",2,1,2,2.0,2.0,1.0
30280955,"[(347, 347)]",1,1,1,1.0,1.0,1.0
30280991,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30281029,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30301637,"[(311, 269)]",1,1,1,1.0,1.0,1.0
30317872,"[(23, 455)]",1,1,1,1.0,1.0,1.0
30317965,"[(66, 292)]",1,1,1,1.0,1.0,1.0
30338606,"[(251, 142)]",1,1,1,1.0,1.0,1.0
30380350,"[(306, 98)]",1,1,1,1.0,1.0,1.0
30451975,"[(366, 48)]",1,1,1,1.0,1.0,1.0
30478433,"[(306, 98)]",1,1,1,1.0,1.0,1.0
30485300,"[(20, 0)]",1,1,1,1.0,1.0,1.0
30489099,"[(84, 370)]",1,1,1,1.0,1.0,1.0
30497440,"[(266, 327)]",1,1,1,1.0,1.0,1.0
30497455,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30513809,"[(188, 214), (188, 213)]",2,1,2,2.0,2.0,1.0
30517761,"[(29, 460)]",1,1,1,1.0,1.0,1.0
30518105,"[(59, 194)]",1,1,1,1.0,1.0,1.0
30530173,"[(266, 245)]",1,1,1,1.0,1.0,1.0
30534285,"[(214, 398)]",1,1,1,1.0,1.0,1.0
30563126,"[(391, 11)]",1,1,1,1.0,1.0,1.0
30664235,"[(358, 458)]",1,1,1,1.0,1.0,1.0
30676576,"[(19, 148)]",1,1,1,1.0,1.0,1.0
30676657,"[(19, 148)]",1,1,1,1.0,1.0,1.0
30688884,"[(338, 346)]",1,1,1,1.0,1.0,1.0
30693094,"[(116, 159)]",1,1,1,1.0,1.0,1.0
30697071,"[(316, 357)]",1,1,1,1.0,1.0,1.0
30701919,"[(370, 0)]",1,1,1,1.0,1.0,1.0
30709159,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30709221,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30713011,"[(301, 38)]",1,1,1,1.0,1.0,1.0
30713249,"[(305, 148)]",1,1,1,1.0,1.0,1.0
30713550,"[(310, 270)]",1,1,1,1.0,1.0,1.0
30713612,"[(133, 304)]",1,1,1,1.0,1.0,1.0
30717688,"[(121, 306)]",1,1,1,1.0,1.0,1.0
30726044,"[(277, 282)]",1,1,1,1.0,1.0,1.0
30726085,"[(277, 282)]",1,1,1,1.0,1.0,1.0
30729589,"[(262, 75)]",1,1,1,1.0,1.0,1.0
30729767,"[(107, 83)]",1,1,1,1.0,1.0,1.0
30754644,"[(290, 43)]",1,1,1,1.0,1.0,1.0
30879935,"[(126, 186)]",1,1,1,1.0,1.0,1.0
30892252,"[(401, 382)]",1,1,1,1.0,1.0,1.0
30909326,"[(98, 271)]",1,1,1,1.0,1.0,1.0
30912637,"[(30, 26)]",1,1,1,1.0,1.0,1.0
30913109,"[(59, 58)]",1,1,1,1.0,1.0,1.0
30921394,"[(303, 33)]",1,1,1,1.0,1.0,1.0
30925767,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30925774,"[(54, 334), (54, 333)]",2,1,2,2.0,2.0,1.0
30925833,"[(109, 329)]",1,1,1,1.0,1.0,1.0
30925835,"[(20, 283)]",1,1,1,1.0,1.0,1.0
30925878,"[(102, 280)]",1,1,1,1.0,1.0,1.0
31075927,"[(109, 329)]",1,1,1,1.0,1.0,1.0
31075980,"[(109, 329)]",1,1,1,1.0,1.0,1.0
31076260,"[(33, 76)]",1,1,1,1.0,1.0,1.0
31079952,"[(266, 239)]",1,1,1,1.0,1.0,1.0
31080199,"[(196, 394)]",1,1,1,1.0,1.0,1.0
31088672,"[(109, 329)]",1,1,1,1.0,1.0,1.0
31088681,"[(87, 323)]",1,1,1,1.0,1.0,1.0
31092760,"[(172, 217), (172, 218)]",2,1,2,2.0,2.0,1.0
31100857,"[(145, 359)]",1,1,1,1.0,1.0,1.0
31108993,"[(75, 365)]",1,1,1,1.0,1.0,1.0
31113144,"[(253, 219)]",1,1,1,1.0,1.0,1.0
31113368,"[(259, 230)]",1,1,1,1.0,1.0,1.0
31117168,"[(124, 409)]",1,1,1,1.0,1.0,1.0
